,action_set,policy_type,direct_solution,iterative_solution,discount_factor,mean_time_direct,mean_time_iterative,time_difference,mean_accuracy_direct,mean_accuracy_iterative,accuracy_difference
23,slippery,optimal,"[8.45980947e-07 7.45101971e-06 1.40723394e-04 7.81796631e-06
 1.52276570e-05 0.00000000e+00 2.66629346e-03 0.00000000e+00
 2.88479503e-04 5.46588290e-03 5.31851457e-02 0.00000000e+00
 0.00000000e+00 5.58440327e-02 1.05557074e+00 0.00000000e+00]","[8.45980933e-07 7.45101971e-06 1.40723394e-04 7.81796631e-06
 1.52276570e-05 0.00000000e+00 2.66629346e-03 0.00000000e+00
 2.88479503e-04 5.46588290e-03 5.31851457e-02 0.00000000e+00
 0.00000000e+00 5.58440327e-02 1.05557074e+00 0.00000000e+00]",0.15000000000000002,0.00031073212623596193,0.001954777240753174,0.001644045114517212,42.6875,42.375,0.3125
24,slippery,optimal,"[3.99749847e-06 2.52939647e-05 3.50118007e-04 2.69321544e-05
 5.19674802e-05 0.00000000e+00 4.87635813e-03 0.00000000e+00
 7.23547224e-04 1.00776937e-02 7.27952539e-02 0.00000000e+00
 0.00000000e+00 7.76466036e-02 1.07697476e+00 0.00000000e+00]","[3.99749834e-06 2.52939646e-05 3.50118007e-04 2.69321544e-05
 5.19674801e-05 0.00000000e+00 4.87635813e-03 0.00000000e+00
 7.23547224e-04 1.00776937e-02 7.27952539e-02 0.00000000e+00
 0.00000000e+00 7.76466036e-02 1.07697476e+00 0.00000000e+00]",0.2,0.0002546751499176025,0.0021074092388153076,0.0018527340888977051,42.0625,41.25,0.8125
25,slippery,optimal,"[1.37864516e-05 6.68339995e-05 7.21387542e-04 7.21387542e-05
 1.37864516e-04 0.00000000e+00 7.86842897e-03 0.00000000e+00
 1.50272323e-03 1.63920910e-02 9.36997601e-02 0.00000000e+00
 0.00000000e+00 1.01502608e-01 1.10013660e+00 0.00000000e+00]","[1.37864514e-05 6.68339994e-05 7.21387542e-04 7.21387542e-05
 1.37864516e-04 0.00000000e+00 7.86842897e-03 0.00000000e+00
 1.50272323e-03 1.63920910e-02 9.36997601e-02 0.00000000e+00
 0.00000000e+00 1.01502608e-01 1.10013660e+00 0.00000000e+00]",0.25,0.00031205415725708006,0.0024693119525909424,0.0021572577953338622,41.25,41.3125,0.0625
26,slippery,optimal,"[3.91006086e-05 1.51268011e-04 1.32231149e-03 1.65288936e-04
 3.12804869e-04 0.00000000e+00 1.17495354e-02 0.00000000e+00
 2.77614321e-03 2.46724840e-02 1.16173043e-01 0.00000000e+00
 0.00000000e+00 1.27775654e-01 1.12530841e+00 0.00000000e+00]","[3.91006083e-05 1.51268011e-04 1.32231149e-03 1.65288936e-04
 3.12804869e-04 0.00000000e+00 1.17495354e-02 0.00000000e+00
 2.77614321e-03 2.46724840e-02 1.16173043e-01 0.00000000e+00
 0.00000000e+00 1.27775654e-01 1.12530841e+00 0.00000000e+00]",0.30000000000000004,0.00036274075508117674,0.0026957619190216063,0.0023330211639404296,40.8125,40.5,0.3125
27,slippery,optimal,"[9.72412438e-05 3.08828399e-04 2.24103092e-03 3.41026444e-04
 6.39013888e-04 0.00000000e+00 1.66589771e-02 0.00000000e+00
 4.74100677e-03 3.52571802e-02 1.40550202e-01 0.00000000e+00
 0.00000000e+00 1.56913193e-01 1.15279986e+00 0.00000000e+00]","[9.72412437e-05 3.08828399e-04 2.24103092e-03 3.41026444e-04
 6.39013888e-04 0.00000000e+00 1.66589771e-02 0.00000000e+00
 4.74100677e-03 3.52571802e-02 1.40550202e-01 0.00000000e+00
 0.00000000e+00 1.56913193e-01 1.15279986e+00 0.00000000e+00]",0.35000000000000003,0.0004159879684448242,0.0033080029487609864,0.002892014980316162,40.0,40.3125,0.3125
28,slippery,optimal,"[2.20462326e-04 5.86958301e-04 3.59476663e-03 6.53593933e-04
 1.21254279e-03 0.00000000e+00 2.27790248e-02 0.00000000e+00
 7.66106583e-03 4.85843851e-02 1.67247919e-01 0.00000000e+00
 0.00000000e+00 1.89473903e-01 1.18299599e+00 0.00000000e+00]","[2.20462326e-04 5.86958301e-04 3.59476663e-03 6.53593933e-04
 1.21254279e-03 0.00000000e+00 2.27790248e-02 0.00000000e+00
 7.66106583e-03 4.85843851e-02 1.67247919e-01 0.00000000e+00
 0.00000000e+00 1.89473903e-01 1.18299599e+00 0.00000000e+00]",0.4,0.0003054976463317871,0.0035612785816192625,0.0032557809352874753,40.4375,39.8125,0.625
29,slippery,optimal,"[4.67525871e-04 1.06071180e-03 5.54317430e-03 1.18782306e-03
 2.18178740e-03 0.00000000e+00 3.03506093e-02 0.00000000e+00
 1.18959361e-02 6.52285169e-02 1.96794221e-01 0.00000000e+00
 0.00000000e+00 2.26166623e-01 1.21638235e+00 0.00000000e+00]","[4.67525871e-04 1.06071180e-03 5.54317430e-03 1.18782306e-03
 2.18178740e-03 0.00000000e+00 3.03506093e-02 0.00000000e+00
 1.18959361e-02 6.52285169e-02 1.96794221e-01 0.00000000e+00
 0.00000000e+00 2.26166623e-01 1.21638235e+00 0.00000000e+00]",0.45,0.00033673644065856934,0.0037574148178100585,0.003420678377151489,39.75,39.25,0.5
30,slippery,optimal,"[9.44552666e-04 1.85082114e-03 8.30955303e-03 2.07738826e-03
 3.77821067e-03 0.00000000e+00 3.96969440e-02 0.00000000e+00
 1.79465007e-02 8.59542926e-02 2.29872111e-01 0.00000000e+00
 0.00000000e+00 2.67907144e-01 1.25358143e+00 0.00000000e+00]","[9.44552666e-04 1.85082114e-03 8.30955303e-03 2.07738826e-03
 3.77821067e-03 0.00000000e+00 3.96969440e-02 0.00000000e+00
 1.79465007e-02 8.59542926e-02 2.29872111e-01 0.00000000e+00
 0.00000000e+00 2.67907144e-01 1.25358143e+00 0.00000000e+00]",0.5,0.0002921187877655029,0.004258211851119995,0.003966093063354492,39.125,39.125,0.0
31,slippery,optimal,"[0.00184368 0.00315625 0.01221596 0.0035362  0.00636909 0.
 0.05126029 0.         0.0265277  0.11179976 0.26738561 0.
 0.         0.31590354 1.29540692 0.        ]","[0.00184368 0.00315625 0.01221596 0.0035362  0.00636909 0.
 0.05126029 0.         0.0265277  0.11179976 0.26738561 0.
 0.         0.31590354 1.29540692 0.        ]",0.55,0.0003665447235107422,0.0050837862491607665,0.004717241525650024,39.0,39.0625,0.0625
32,slippery,optimal,"[0.00351728 0.00531538 0.01774423 0.00591474 0.01055184 0.
 0.06566154 0.         0.03869008 0.14420849 0.31056345 0.
 0.         0.37178893 1.34294723 0.        ]","[0.00351728 0.00531538 0.01774423 0.00591474 0.01055184 0.
 0.06566154 0.         0.03869008 0.14420849 0.31056345 0.
 0.         0.37178893 1.34294723 0.        ]",0.6000000000000001,0.00030688762664794923,0.005759794712066651,0.0054529070854187015,38.8125,38.4375,0.375
